time_s,temp_c,time_min,rolling_avg,rate_of_change
0.0,29.69,0.0,29.69,
2.36,29.69,0.039,29.69,0.0
3.64,29.69,0.061,29.69,0.0
4.93,29.75,0.082,29.705,0.047
6.21,29.75,0.104,29.714,0.0
7.5,29.69,0.125,29.71,-0.047
8.78,29.62,0.146,29.697,-0.055
10.06,29.5,0.168,29.672,-0.094
11.35,29.37,0.189,29.639,-0.101
12.63,29.25,0.211,29.6,-0.094
13.91,29.12,0.232,29.556,-0.102
15.2,29.0,0.253,29.51,-0.093
16.48,28.87,0.275,29.461,-0.102
17.76,29.0,0.296,29.428,0.102
19.05,29.25,0.318,29.416,0.194
20.33,29.62,0.339,29.429,0.289
21.61,29.87,0.36,29.455,0.195
22.9,30.19,0.382,29.496,0.248
24.18,30.44,0.403,29.545,0.195
25.46,30.75,0.424,29.606,0.242
26.75,31.0,0.446,29.671,0.194
28.03,31.19,0.467,29.746,0.148
29.31,31.5,0.488,29.836,0.242
30.6,31.62,0.51,29.93,0.093
31.88,31.87,0.531,30.036,0.195
33.16,32.06,0.553,30.155,0.148
34.45,32.25,0.574,30.286,0.147
35.73,32.44,0.595,30.433,0.148
37.01,32.63,0.617,30.596,0.148
38.3,32.69,0.638,30.768,0.047
39.58,32.88,0.66,30.956,0.148
40.86,33.0,0.681,31.156,0.094
42.15,33.19,0.702,31.372,0.147
43.43,33.31,0.724,31.588,0.094
44.71,33.44,0.745,31.797,0.102
46.0,33.56,0.767,31.994,0.093
47.28,33.69,0.788,32.185,0.102
48.56,33.81,0.809,32.366,0.094
49.85,33.94,0.831,32.541,0.101
51.13,34.06,0.852,32.706,0.094
52.41,34.19,0.874,32.866,0.102
53.7,34.31,0.895,33.022,0.093
54.98,34.38,0.916,33.166,0.055
56.26,34.5,0.938,33.31,0.094
57.55,34.56,0.959,33.445,0.047
58.83,34.69,0.98,33.576,0.102
60.11,34.81,1.002,33.704,0.094
61.4,34.88,1.023,33.826,0.054
62.68,35.0,1.045,33.944,0.094
63.97,35.06,1.066,34.063,0.047
65.25,35.19,1.088,34.178,0.102
66.53,35.25,1.109,34.291,0.047
67.82,35.31,1.13,34.397,0.047
69.1,35.44,1.152,34.504,0.102
70.38,35.5,1.173,34.606,0.047
71.67,35.56,1.195,34.706,0.047
72.95,35.69,1.216,34.806,0.102
74.23,35.75,1.237,34.904,0.047
75.52,35.81,1.259,34.997,0.047
76.8,35.94,1.28,35.091,0.102
78.08,36.0,1.301,35.182,0.047
79.37,36.06,1.323,35.269,0.047
80.65,36.13,1.344,35.356,0.055
81.93,36.19,1.366,35.441,0.047
83.22,36.25,1.387,35.526,0.047
84.5,36.38,1.408,35.61,0.102
85.78,36.38,1.43,35.688,0.0
87.07,36.44,1.451,35.766,0.047
88.35,36.5,1.472,35.842,0.047
89.65,36.56,1.494,35.916,0.046
90.92,36.63,1.515,35.988,0.055
92.2,36.69,1.537,36.061,0.047
93.48,36.75,1.558,36.133,0.047
94.77,36.81,1.58,36.201,0.047
96.05,36.88,1.601,36.27,0.055
97.33,36.94,1.622,36.339,0.047
98.62,37.0,1.644,36.404,0.047
99.9,37.06,1.665,36.47,0.047
101.19,37.13,1.686,36.536,0.054
102.47,37.13,1.708,36.596,0.0
103.75,37.19,1.729,36.655,0.047
105.04,37.25,1.751,36.714,0.047
106.32,37.31,1.772,36.774,0.047
107.6,37.38,1.793,36.833,0.055
108.89,37.44,1.815,36.892,0.047
110.17,37.5,1.836,36.948,0.047
111.46,37.56,1.858,37.008,0.047
112.74,37.56,1.879,37.064,0.0
114.02,37.63,1.9,37.12,0.055
115.3,37.69,1.922,37.176,0.047
116.59,37.75,1.943,37.232,0.047
117.87,37.75,1.965,37.286,0.0
119.15,37.81,1.986,37.338,0.047
120.44,37.88,2.007,37.392,0.054
121.72,37.94,2.029,37.445,0.047
123.0,37.94,2.05,37.495,0.0
124.29,38.0,2.072,37.545,0.047
125.57,38.06,2.093,37.595,0.047
126.85,38.06,2.114,37.642,0.0
128.14,38.13,2.136,37.692,0.054
129.42,38.19,2.157,37.741,0.047
130.7,38.25,2.178,37.792,0.047
