time_s,time_min,temp_c,rolling_avg,rate_of_change,cumulative_max,phase,percentile
0.0,0.0,29.69,29.69,,29.69,Heating phase,1.4
2.36,0.039,29.69,29.69,0.0,29.69,Heating phase,1.4
3.64,0.061,29.69,29.69,0.0,29.69,Heating phase,1.4
4.93,0.082,29.75,29.705,0.047,29.75,Heating phase,2.0
6.21,0.104,29.75,29.714,0.0,29.75,Heating phase,2.0
7.5,0.125,29.69,29.71,-0.047,29.75,Heating phase,1.4
8.78,0.146,29.62,29.697,-0.055,29.75,Heating phase,1.2
10.06,0.168,29.5,29.672,-0.094,29.75,Heating phase,1.0
11.35,0.189,29.37,29.639,-0.101,29.75,Heating phase,0.9
12.63,0.211,29.25,29.6,-0.094,29.75,Heating phase,0.6
13.91,0.232,29.12,29.556,-0.102,29.75,Heating phase,0.4
15.2,0.253,29.0,29.51,-0.093,29.75,Heating phase,0.1
16.48,0.275,28.87,29.461,-0.102,29.75,Heating phase,0.0
17.76,0.296,29.0,29.428,0.102,29.75,Heating phase,0.1
19.05,0.318,29.25,29.416,0.194,29.75,Heating phase,0.6
20.33,0.339,29.62,29.429,0.289,29.75,Heating phase,1.2
21.61,0.36,29.87,29.455,0.195,29.87,Heating phase,2.3
22.9,0.382,30.19,29.496,0.248,30.19,Heating phase,2.5
24.18,0.403,30.44,29.545,0.195,30.44,Heating phase,2.6
25.46,0.424,30.75,29.606,0.242,30.75,Heating phase,2.7
26.75,0.446,31.0,29.671,0.194,31.0,Heating phase,2.9
28.03,0.467,31.19,29.746,0.148,31.19,Heating phase,3.0
29.31,0.488,31.5,29.836,0.242,31.5,Heating phase,3.2
30.6,0.51,31.62,29.93,0.093,31.62,Heating phase,3.3
31.88,0.531,31.87,30.036,0.195,31.87,Heating phase,3.5
33.16,0.553,32.06,30.155,0.148,32.06,Heating phase,3.6
34.45,0.574,32.25,30.286,0.147,32.25,Heating phase,3.8
35.73,0.595,32.44,30.433,0.148,32.44,Heating phase,3.9
37.01,0.617,32.63,30.596,0.148,32.63,Heating phase,4.0
38.3,0.638,32.69,30.768,0.047,32.69,Heating phase,4.2
39.58,0.66,32.88,30.956,0.148,32.88,Heating phase,4.3
40.86,0.681,33.0,31.156,0.094,33.0,Heating phase,4.5
42.15,0.702,33.19,31.372,0.147,33.19,Heating phase,4.6
43.43,0.724,33.31,31.588,0.094,33.31,Heating phase,4.8
44.71,0.745,33.44,31.797,0.102,33.44,Heating phase,4.9
46.0,0.767,33.56,31.994,0.093,33.56,Heating phase,5.1
47.28,0.788,33.69,32.185,0.102,33.69,Heating phase,5.2
48.56,0.809,33.81,32.366,0.094,33.81,Heating phase,5.3
49.85,0.831,33.94,32.541,0.101,33.94,Heating phase,5.5
51.13,0.852,34.06,32.706,0.094,34.06,Heating phase,5.6
52.41,0.874,34.19,32.866,0.102,34.19,Heating phase,5.8
53.7,0.895,34.31,33.022,0.093,34.31,Heating phase,5.9
54.98,0.916,34.38,33.166,0.055,34.38,Heating phase,6.1
56.26,0.938,34.5,33.31,0.094,34.5,Heating phase,6.2
57.55,0.959,34.56,33.445,0.047,34.56,Heating phase,6.4
58.83,0.98,34.69,33.576,0.102,34.69,Heating phase,6.5
60.11,1.002,34.81,33.704,0.094,34.81,Heating phase,6.6
61.4,1.023,34.88,33.826,0.054,34.88,Heating phase,6.8
62.68,1.045,35.0,33.944,0.094,35.0,Heating phase,6.9
63.97,1.066,35.06,34.063,0.047,35.06,Heating phase,7.1
65.25,1.088,35.19,34.178,0.102,35.19,Heating phase,7.2
66.53,1.109,35.25,34.291,0.047,35.25,Heating phase,7.4
67.82,1.13,35.31,34.397,0.047,35.31,Heating phase,7.5
69.1,1.152,35.44,34.504,0.102,35.44,Heating phase,7.7
70.38,1.173,35.5,34.606,0.047,35.5,Heating phase,7.8
71.67,1.195,35.56,34.706,0.047,35.56,Heating phase,7.9
72.95,1.216,35.69,34.806,0.102,35.69,Heating phase,8.1
74.23,1.237,35.75,34.904,0.047,35.75,Heating phase,8.2
