Time [s],Temperature [°C]
0.0,29.69
2.36,29.69
3.64,29.69
4.93,29.75
6.21,29.75
7.5,29.69
8.78,29.62
10.06,29.5
11.35,29.37
12.63,29.25
13.91,29.12
15.2,29.0
16.48,28.87
17.76,29.0
19.05,29.25
20.33,29.62
21.61,29.87
22.9,30.19
24.18,30.44
25.46,30.75
26.75,31.0
28.03,31.19
29.31,31.5
30.6,31.62
31.88,31.87
33.16,32.06
34.45,32.25
35.73,32.44
37.01,32.63
38.3,32.69
39.58,32.88
40.86,33.0
42.15,33.19
43.43,33.31
44.71,33.44
46.0,33.56
47.28,33.69
48.56,33.81
49.85,33.94
51.13,34.06
52.41,34.19
53.7,34.31
54.98,34.38
56.26,34.5
57.55,34.56
58.83,34.69
60.11,34.81
61.4,34.88
62.68,35.0
63.97,35.06
65.25,35.19
66.53,35.25
67.82,35.31
69.1,35.44
70.38,35.5
71.67,35.56
72.95,35.69
74.23,35.75
75.52,35.81
76.8,35.94
78.08,36.0
79.37,36.06
80.65,36.13
81.93,36.19
83.22,36.25
84.5,36.38
85.78,36.38
87.07,36.44
88.35,36.5
89.65,36.56
90.92,36.63
92.2,36.69
93.48,36.75
94.77,36.81
96.05,36.88
97.33,36.94
98.62,37.0
99.9,37.06
101.19,37.13
102.47,37.13
103.75,37.19
105.04,37.25
106.32,37.31
107.6,37.38
108.89,37.44
110.17,37.5
111.46,37.56
112.74,37.56
114.02,37.63
115.3,37.69
116.59,37.75
117.87,37.75
119.15,37.81
120.44,37.88
121.72,37.94
123.0,37.94
124.29,38.0
125.57,38.06
126.85,38.06
128.14,38.13
129.42,38.19
130.7,38.25
131.99,38.25
133.28,38.31
134.56,38.31
135.84,38.38
137.12,38.44
138.4,38.44
139.69,38.5
140.97,38.5
142.25,38.56
143.54,38.63
144.82,38.63
146.11,38.69
147.39,38.69
148.67,38.69
149.96,38.75
151.24,38.81
152.52,38.81
153.81,38.88
155.09,38.88
156.37,38.88
157.66,38.94
158.94,38.94
160.22,39.0
161.51,39.0
162.79,39.06
164.07,39.06
165.36,39.13
166.64,39.13
167.92,39.13
169.21,39.19
170.49,39.19
171.77,39.25
173.06,39.25
174.34,39.31
175.62,39.31
176.91,39.38
178.19,39.38
179.47,39.38
180.76,39.38
182.04,39.44
183.32,39.44
184.61,39.5
185.89,39.5
187.17,39.56
188.46,39.56
189.74,39.56
191.02,39.63
192.31,39.63
193.59,39.63
194.88,39.69
196.16,39.69
197.44,39.69
198.73,39.75
200.01,39.75
201.29,39.75
202.58,39.75
203.86,39.81
205.14,39.81
206.43,39.81
207.71,39.88
208.99,39.88
210.28,39.88
211.56,39.94
212.84,39.94
214.13,39.94
215.41,40.0
216.69,40.0
217.98,40.06
219.26,40.0
220.54,40.06
221.83,40.06
223.11,40.13
224.39,40.13
225.68,40.13
226.96,40.19
228.24,40.19
229.53,40.19
230.81,40.19
232.09,40.25
233.38,40.25
234.66,40.25
235.95,40.25
237.23,40.31
238.51,40.31
239.8,40.31
241.08,40.38
242.36,40.38
243.64,40.38
244.93,40.38
246.21,40.44
247.5,40.44
248.78,40.44
250.06,40.44
251.35,40.5
252.63,40.5
253.91,40.5
255.2,40.5
256.48,40.56
257.76,40.56
259.05,40.56
260.33,40.56
261.61,40.56
262.9,40.63
264.18,40.63
265.46,40.63
266.75,40.63
268.03,40.63
269.31,40.69
270.6,40.69
271.88,40.69
273.16,40.69
274.45,40.75
275.73,40.75
277.01,40.75
278.3,40.75
279.58,40.81
280.86,40.81
282.15,40.81
283.43,40.81
284.71,40.88
286.0,40.88
287.28,40.88
288.57,40.88
289.85,40.88
291.13,40.88
292.42,40.94
293.7,40.88
294.98,40.94
296.27,40.94
297.55,40.94
298.83,41.0
300.12,41.0
301.4,41.0
302.68,41.0
303.97,41.06
305.25,41.0
306.53,41.06
307.82,41.06
309.1,41.13
310.38,41.06
311.67,41.13
312.95,41.13
314.23,41.13
315.52,41.13
316.8,41.13
318.08,41.13
319.37,41.13
320.65,41.13
321.93,41.13
323.22,41.19
324.5,41.19
325.78,41.19
327.07,41.19
328.35,41.19
329.63,41.19
330.92,41.19
332.2,41.19
333.49,41.25
334.77,41.25
336.05,41.25
337.34,41.25
338.62,41.25
339.9,41.25
341.19,41.25
342.47,41.25
343.75,41.25
345.04,41.25
346.32,41.25
347.6,41.25
348.89,41.25
350.17,41.31
351.45,41.31
352.74,41.31
354.02,41.31
355.3,41.31
356.59,41.31
357.87,41.31
359.15,41.31
360.44,41.31
361.72,41.31
363.0,41.38
364.29,41.38
365.57,41.38
366.85,41.38
368.15,41.38
369.42,41.38
370.7,41.38
371.99,41.38
373.27,41.44
374.56,41.44
375.84,41.44
377.12,41.44
378.4,41.44
379.69,41.5
380.97,41.5
382.26,41.5
383.54,41.5
384.82,41.5
386.11,41.5
387.39,41.5
388.67,41.5
389.96,41.56
391.24,41.5
392.52,41.56
393.81,41.56
395.09,41.56
396.39,41.56
397.66,41.56
398.95,41.56
400.22,41.56
401.51,41.63
402.79,41.63
404.07,41.63
405.36,41.63
406.64,41.63
407.92,41.63
409.21,41.69
410.49,41.69
411.77,41.63
413.06,41.69
414.34,41.69
415.62,41.69
416.91,41.69
418.19,41.69
419.48,41.69
420.76,41.75
422.04,41.75
423.33,41.75
424.61,41.75
425.89,41.75
427.18,41.75
428.46,41.75
429.74,41.75
431.03,41.75
432.31,41.75
433.59,41.81
434.88,41.81
436.16,41.81
437.44,41.75
438.73,41.81
440.01,41.81
441.29,41.81
442.58,41.88
443.86,41.81
445.14,41.88
446.43,41.88
447.71,41.88
448.99,41.88
450.28,41.88
451.56,41.94
452.84,41.88
454.13,41.94
455.41,41.94
456.69,41.94
457.98,41.94
459.26,41.94
460.54,41.94
461.83,41.94
463.11,42.0
464.39,41.94
465.68,42.0
466.96,42.0
468.25,42.0
469.53,42.0
470.81,42.0
472.09,42.0
473.38,42.06
474.66,42.06
475.94,42.0
477.23,42.06
478.51,42.06
479.8,42.06
481.08,42.06
482.36,42.06
483.65,42.06
484.93,42.13
486.21,42.13
487.5,42.13
488.78,42.13
490.06,42.13
491.35,42.13
492.63,42.13
493.91,42.13
495.2,42.13
496.48,42.19
497.76,42.19
499.05,42.19
500.33,42.19
501.61,42.19
502.9,42.19
504.18,42.19
505.46,42.19
506.75,42.19
508.03,42.25
509.31,42.19
510.6,42.25
511.88,42.25
513.16,42.19
514.45,42.25
515.73,42.25
517.01,42.25
518.3,42.25
519.58,42.25
520.86,42.25
522.15,42.25
523.43,42.25
524.71,42.25
526.0,42.25
527.28,42.25
528.57,42.25
529.85,42.25
531.13,42.25
532.42,42.25
533.7,42.25
534.98,42.25
536.27,42.25
537.55,42.25
538.83,42.31
540.12,42.31
541.4,42.25
542.68,42.31
543.97,42.31
545.25,42.31
546.53,42.25
547.82,42.31
549.1,42.31
550.38,42.31
551.67,42.31
552.95,42.31
554.23,42.31
